X,Y,phi
-3.1460219,-4.800255756,1.70E-04
-3.083563966,-4.700474633,2.44E-04
-3.206353585,-4.700292634,2.41E-04
-3.082793316,-4.499909801,3.69E-04
-3.144573451,-4.600101218,3.08E-04
-3.021783832,-4.600283216,3.11E-04
-2.899775491,-4.800437754,1.73E-04
-2.962233425,-4.900218877,9.02E-05
-3.024691358,-5,1.98E-21
-2.838776634,-4.900218877,9.10E-05
-2.901234568,-5,3.15E-20
-2.777777778,-5,0
-4.020359709,-3.279838885,5.64E-04
-3.92108364,-3.339672817,5.88E-04
-3.82180757,-3.39950675,6.07E-04
-3.924378786,-3.219576866,5.99E-04
-3.825102717,-3.279410799,6.20E-04
-3.828397863,-3.159314848,6.30E-04
-4.31244242,-3.091704508,4.64E-04
-4.214422183,-3.154111571,5.04E-04
-4.116401946,-3.216518634,5.37E-04
-4.214483497,-3.030529302,5.10E-04
-4.11646326,-3.092936364,5.45E-04
-4.116524574,-2.969354095,5.52E-04
-3.9244401,-3.095994597,6.08E-04
-4.020482337,-3.032674346,5.82E-04
-4.020421023,-3.156256615,5.74E-04
-4.704893689,-2.594029224,2.48E-04
-4.803262459,-2.531821952,1.74E-04
-4.90163123,-2.469614679,9.11E-05
-5,-2.407407407,0
-4.803262459,-2.655278742,1.73E-04
-4.90163123,-2.59307147,9.07E-05
-5,-2.530864198,2.04E-21
-4.90163123,-2.71652826,9.03E-05
-5,-2.654320988,3.15E-20
-4.80318004,-2.779090295,1.72E-04
-4.70472885,-2.84165233,2.45E-04
-4.704811269,-2.717840777,2.47E-04
-4.410291048,-2.780993046,4.28E-04
-4.508491928,-2.718671772,3.75E-04
-4.606692809,-2.656350498,3.15E-04
-4.508409509,-2.842483325,3.72E-04
-4.606610389,-2.780162051,3.13E-04
-4.606527969,-2.903973604,3.10E-04
-4.508446274,-2.966445548,3.69E-04
-4.410364578,-3.028917492,4.20E-04
-4.410327813,-2.904955269,4.24E-04
-4.214446732,-2.906567079,5.16E-04
-4.31236889,-2.843780062,4.75E-04
-4.312405655,-2.967742285,4.70E-04
-3.542076721,-3.353655436,6.70E-04
-3.637517102,-3.28887524,6.60E-04
-3.732957482,-3.224095044,6.47E-04
-3.634221955,-3.408971191,6.47E-04
-3.729662336,-3.344190995,6.35E-04
-3.72636719,-3.464286946,6.21E-04
-3.623939791,-3.54023226,6.30E-04
-3.521512392,-3.616177574,6.34E-04
-3.531794556,-3.484916505,6.54E-04
-3.244561723,-3.462669232,6.96E-04
-3.343733389,-3.4263313,6.90E-04
-3.442905055,-3.389993368,6.81E-04
-3.333451224,-3.557592369,6.70E-04
-3.43262289,-3.521254437,6.63E-04
-3.422340726,-3.652515506,6.42E-04
-3.260724631,-3.991026461,5.75E-04
-3.193195878,-3.892607751,6.10E-04
-3.125667125,-3.79418904,6.41E-04
-3.321716912,-3.877024285,6.02E-04
-3.254188159,-3.778605574,6.34E-04
-3.382709193,-3.763022109,6.23E-04
-3.165298658,-3.683682437,6.63E-04
-3.20493019,-3.573175834,6.81E-04
-3.293819692,-3.668098972,6.54E-04
-3.080345696,-4.299733454,4.71E-04
-3.016888592,-4.199930522,5.17E-04
-2.953431487,-4.10012759,5.59E-04
-3.141829224,-4.196369716,5.12E-04
-3.07837212,-4.096566784,5.53E-04
-3.203312752,-4.093005978,5.46E-04
-3.068255246,-3.896168556,6.18E-04
-3.135783999,-3.994587267,5.84E-04
-3.010843366,-3.998148073,5.91E-04
-2.898285765,-4.601194101,3.14E-04
-2.835797183,-4.50173157,3.76E-04
-2.7733086,-4.40226904,4.32E-04
-2.959295249,-4.500820686,3.73E-04
-2.896806667,-4.401358156,4.29E-04
-3.020304734,-4.400447271,4.25E-04
-2.893390525,-4.200841407,5.22E-04
-2.956847629,-4.300644339,4.76E-04
-2.833349562,-4.301555223,4.80E-04
-2.71554224,-4.900594414,9.12E-05
-2.653306702,-4.801188828,1.75E-04
-2.591071163,-4.701783242,2.50E-04
-2.776541096,-4.800813291,1.74E-04
-2.714305558,-4.701407705,2.49E-04
-2.837539953,-4.701032168,2.48E-04
-2.712562788,-4.502107107,3.78E-04
-2.77505137,-4.601569638,3.16E-04
-2.651816976,-4.601945175,3.18E-04
-2.529849911,-4.801188828,1.75E-04
